Result,Board,                Type,                Part,      ActVal,      StdVal,          HL,          LL, Mode,Range,     TestVal
  PASS,    1,            Resistor,                  R2,          0o,       60.4o,         25%,         25%,   CC,    2,     61.4289
  PASS,    1,            Resistor,                  R3,          0o,       60.4o,         25%,         25%,   CC,    2,     61.2737
  PASS,    1,            Resistor,                 R2L,          0o,       60.4o,         25%,         25%,   CC,    2,     61.3772
  PASS,    1,            Resistor,                 R3L,          0o,       60.4o,         25%,         25%,   CC,    2,      61.653
  PASS,    1,            Resistor,                 R26,         85o,       76.8o,         25%,         25%,   CC,    4,     98.7525
  PASS,    1,            Resistor,                 R28,         85o,       76.8o,         25%,         25%,   CC,    4,      93.555
  PASS,    1,            Resistor,                 R30,         85o,       76.8o,         25%,         25%,   CC,    4,     100.485
  PASS,    1,            Resistor,                R26L,         85o,       76.8o,         25%,         25%,   CC,    4,      93.555
  PASS,    1,            Resistor,                R28L,         85o,       76.8o,         25%,         25%,   CC,    4,      103.95
  PASS,    1,            Resistor,                R30L,         85o,       76.8o,         25%,         25%,   CC,    4,      93.555
  PASS,    1,            Resistor,                  R1,          0o,        100o,         25%,         25%,   CC,    2,    100.5138
  PASS,    1,            Resistor,                  R4,          0o,        100o,         25%,         25%,   CC,    2,    100.7379
  PASS,    1,            Resistor,                 R1L,          0o,        100o,         25%,         25%,   CC,    2,    100.7724
  PASS,    1,            Resistor,                 R4L,          0o,        100o,         25%,         25%,   CC,    2,    100.7379
  PASS,    1,            Resistor,                  R5,         0Ko,       100Ko,         25%,         25%,   CC,    5,     99.9131
  PASS,    1,            Resistor,                 R5L,         0Ko,       100Ko,         25%,         25%,   CC,    5,    100.1562
  PASS,    1,            Resistor,                 RB1,       220Ko,       200Ko,         25%,         25%,   CC,    5,    250.1907
  PASS,    1,            Resistor,                RB1L,       220Ko,       200Ko,         25%,         25%,   CC,    5,    252.0831
  PASS,    1,            Resistor,                JMP1,          0o,          1o,           5,         25%,   CC,    1,      1.6981
  PASS,    1,            Resistor,                JMP5,          0o,          1o,           5,         25%,   CC,    1,      1.5967
  PASS,    1,            Resistor,                JMP3,          0o,          1o,           5,         25%,   CC,    1,      1.5348
  PASS,    1,            Resistor,                JMP2,          0o,          1o,           5,         25%,   CC,    1,      1.6947
